id;date_of_birth;first_name;last_name;preferred_language;bio
1000;now();Antoine;Sabot-Durand;FRENCH;IT consultant since 1996 and Senior software Engineer at Red Hat since 2013, Antoine is CDI co-spec lead and in charge of CDI eco-system development and advocacy. He''s also tech lea on Agorava, a CDI framework helping social media consuming.
1001;now();Nigel;Deakin;ENGLISH;Nigel Deakin is specification lead for JMS 2.0 (JSR 343) and a principal member of technical staff at Oracle.
1002;now();Fred;Rowe;ENGLISH;Fred is the WebSphere Architect for a number of Application Server components including those responsible for JEE managed concurrency, JCA (Java Connector Architecture), and database connectivity and connection management. Fred has worked at IBM for 10...
1003;now();Kinman;Chung;ENGLISH;Spec lead for JSR 341, EL 3.0. Formerly a Tomcat committer. Currently a developer in Glassfish, working on web container, JSP and EL.
1004;now();Linda;Demichiel;ENGLISH;
1005;now();Arun;Gupta;ENGLISH;Arun Gupta is a Java evangelist working at Oracle. He works to create and foster the community around Java EE, GlassFish, and WebLogic. He has been with the Java EE team since its inception and contributed to all releases. Arun has extensive world wide...
1006;now();Lincoln;Baxter III;ENGLISH;Lincoln Baxter, III is a Research Engineer at Red Hat, working on JBoss open-source projects, most notably as project lead for JBoss Forge.
1007;now();Ed;Burns;ENGLISH;Ed Burns is a Senior Staff Engineer for Oracle Corporation where he chairs the JSR 344 (JSF 2.2) Expert Group and contributes to the open source Mojarra project. He is the author of two books published by McGraw-Hill: Secrets of the Rock Star Programme...
1008;now();Roger;Kitain;ENGLISH;Roger Kitain is an Engineer at Oracle Corporation where he spent the last 15 years working with web technologies. He started working on JavaServer Faces in 2001 as a member of the implementation team and has co-led the specification for JSF since 1.1, ...
1009;now();Antonio;Goncalves;FRENCH;Antonio is a senior developer specialized in Java/Java EE. As a consultant he advises customers and helps them in defining and developing their software architecture. This Java Champion is also the founder of the very successful Paris JUG, Devoxx Franc...
1010;now();Adam;Bien;GERMAN;Consultant and author Adam Bien is an Expert Group member for the Java EE 6 / 7, EJB 3.X, JAX-RS and JPA 2.X JSRs. He has worked with Java technology since JDK 1.0 and with Servlets/EJB 1.0 and is now an architect and developer for Java SE and Java EE ...
1011;now();Emmanuel;Bernard;FRENCH;Emmanuel Bernard is data platform architect at JBoss by Red Hat where he oversees data projects of the Red Hat''s middleware and is member of the Hibernate team. Emmanuel has spent a few years in the retail industry as developer and architect where he ...
1012;now();Jitendra;Kotamraju;ENGLISH;Jitendra Kotamraju is a software engineer at Oracle. He has been contributing to the many Java EE technologies and GlassFish projects for the last 8 years. He was the specification and implementation lead of JAX-WS 2.2. At present, he is the specificat...
1013;now();Mike;Keith;ENGLISH;
1014;now();Anthony;Lai;ENGLISH;Anthony Lai is a principal member of technical staff at Oracle. He is the specification lead for JSR 236 - Concurrency Utilities for Java EE 1.0, and was previously a member of the J2EE Connector Architecture 1.5 specification (JSR 112) expert group.
1015;now();J. K.;Rowling;ENGLISH;
